"#,??? ??????,???????,??????? (?????),???? ????? ??????,?????? / ???????"
"1,?? ???? ??????,?????? ?????,118.80,204/7-11-2005,?? ??????"
"2,??? ???? ??????,?????? ?????,58,204/7-11-2005,?? ??????"
"3,???????,?????? ?????,135,204/7-11-2005,?? ??????"
"4,???? ?????,?????? ?????,130,201/7-11-2005,?? ??????"
"5,???? ?????,?????? ?????,66,201/7-11-2005,?? ??????"
"6,????? 1,?????? ?????,357,201/7-11-2005,?? ??????"
"7,????? 2,?????? ?????,79.9,190/30-7-2006,?? ??????"
"8,????? 3,?????? ?????,100,,????? ??????"
"9,?????,?????? ?????,86.913,,?? ??????"
"10,??????,?????? ?????,5.116,,????? ??????"
"11,??????,???????,89,203/7-11-2005,?? ??????"
"12,???? ?????,???????,52,201/7-11-2005,?? ??????"
"13,???????,???????,101,190/30-7-2006,?? ??????"
"14,???? ??? ?????? 1,???????,3.770,,?? ??????"
"15,???? ??? ?????? 2,???????,1.847,,?? ??????"
"16,???? ??? ?????? 3,???????,2.847,,?? ??????"
"17,???? ??? ?????? 4,???????,6.106,,?? ??????"
"18,????? ??? ?????? 5,???????,6.653,,?? ??????"
"19,????? ??? ?????? 6,???????,9.117,,?? ??????"
"20,???? ????? (1),???????,9.734,,?? ??????"
"21,???? ????? (2),???????,5.651,,?? ??????"
"22,?????,???????,19.086,,?? ??????"
"23,????????,???????,5.156,,?? ??????"
"24,????? 1,???????,4.785,,?? ??????"
"25,????? 2,???????,6.054,,?? ??????"
"26,????? 3,???????,5.122,,?? ??????"
"27,???? ????,???????,7.707,,?? ??????"
"28,???? ?????? ??? ??????,???????,14.324,,?? ??????"
"29,?????? ??????,??????,4.3155,6/28-12-2005,????? ??????"
"30,???????,??????,1.500,6/28-12-2005,????? ??????"
"31,?? ??????? 1,??????,4.8900,199/7-11-2005,????? ??????"
"32,?? ??????? 2,??????,5.4800,199/7-11-2005,????? ??????"
"33,???? ??????,??????,5.4196,199/7-11-2005,????? ??????"
"34,??????,??????,51,202/7-11-2005,?? ??????"
"35,??????,??????,43,202/7-11-2005,?? ??????"
"36,??????,??????,14,202/7-11-2005,?? ??????"
"37,????????,??????,24,202/7-11-2005,?? ??????"
"38,???????,??????,17.5,202/7-11-2005,?? ??????"
"39,?????? ????????,??????,11.39,202/7-11-2005,?? ??????"
"40,?????? ????????,??????,5.46,202/7-11-2005,?? ??????"
"41,????????,??????,15.09,202/7-11-2005,?? ??????"
"42,???? ???????,??????,27,202/7-11-2005,?? ??????"
"43,?????,??????,33,202/7-11-2005,?? ??????"
"44,????? ???????,??????,32,202/7-11-2005,?? ??????"
"45,??????,??????,31,202/7-11-2005,?? ??????"
"46,??? ??????,??????,35,202/7-11-2005,?? ??????"
"47,????????,??????,42,202/7-11-2005,?? ??????"
"48,???? ??????? ????????,??????,10.46,202/7-11-2005,????? ??????"
"49,?????? / ???? ????,??????,3.5,379/26-12-2006,????? ??????"
"50,?????? ??????,??????,335,8/31-12-2005,?? ??????"
"51,??????? (1),??????,635,8/31-12-2005,?? ??????"
"52,??????? (2),??????,1149,8/31-12-2005,?? ??????"
"53,??????? (3),??????,153,8/31-12-2005,?? ??????"
"54,???? ???? (1),??????,248,190/30-7-2006,?? ??????"
"55,???? ???? 2,??????,447.5,190/30-7-2006,?? ??????"
"56,???????,??????,30.7,190/30-7-2006,?? ??????"
"57,?????,??????,72,190/30-7-2006,?? ??????"
"58,?????,??????,51,190/30-7-2006,?? ??????"
"59,???????,??????,64,190/30-7-2006,?? ??????"
"60,?????,??????,95.48,190/30-7-2006,?? ??????"
"61,???????,??????,6,7/28-12-2005,????? ??????"
"62,????,??????,28.8,,?? ??????"
"63,????????,??????,39.9,321/16-11-2006,????? ??????"
"64,????????,??????,13,,?? ?????? (????? ??????)"
"65,???????,???,500,190/30-7-2006,?? ??????"
"66,????????,???,298,190/30-7-2006,?? ??????"
"67,??? ?????,???,30.6,190/30-7-2006,?? ??????"
"68,?????,???,150,190/30-7-2006,?? ??????"
"69,???????,??????,96,205/7-11-2005,?? ??????"
"70,???? ?????,??????,364,205/7-11-2005,?? ??????"
"71,??? ?????,??????,259,4/1-10-2006,?? ??????"
"72,???????,??????,45,205/7-11-2005,?? ??????"
"73,??? ????,??????,19,205/7-11-2005,?? ??????"
"74,????,??????,79,206/7-11-2005,?? ??????"
"75,?????,??????,298,206/7-11-2005,?? ??????"
"76,?????,??????,45,206/7-11-2005,?? ??????"
"77,??? ?????,?????,40,190/30-7-2006,?? ??????"
"78,??????,?????,5,190/30-7-2006,?? ??????"
"79,?????? ??????,?????,9,190/30-7-2006,?? ??????"
"80,????? ???,????? ??????,374,190/30-7-2006,?? ??????"
"81,?????,????? ??????,81,190/30-7-2006,?? ??????"
"82,???????,????? ??????,14,190/30-7-2006,?? ??????"
"83,??????,????,108,190/30-7-2006,?? ?????? (?????)"
"84,???????,????,164,190/30-7-2006,?? ??????"
"85,???????,????,130,190/30-7-2006,?? ??????"
"86,??? ?????,????,326,190/30-7-2006,?? ??????"
"87,??? ????,???????,177,190/30-7-2006,?? ??????"
"88,?????? (1),???????,265,190/30-7-2006,?? ??????"
"89,??????,???,1.5,191/30-7-2006,?? ??????"
"90,?????,??????,53,,???? ???????"
"91,???????,??????,300,,???? ???????"
"92,???????? 2,??????,327,,???? ???????"
"93,?????,???,100,,???? ???????"
"94,?????????,???,325,,???? ???????"
"95,??????? (1),???,417,,???? ???????"
"96,??????? (2),???,210,,???? ???????"
"97,???????,???,195,,???? ???????"
"98,?? ??????,???,295,,???? ???????"
"99,?? ????,???,530,,???? ???????"
"100,??? ?????? (1),???,85,,???? ???????"
"101,??? ?????? (2),???,178,,???? ???????"
"102,??? ???????,???????,812,,???? ???????"
"103,???????? ??????,???????,308,,???? ???????"
"104,???????? ??????,???????,76,,???? ???????"
"105,????? ????,???????,135,,???? ???????"
"106,??????? ???????,???????,100,,???? ???????"
"107,???,???????,1060,,???? ???????"
"108,??????,??????,545,,???? ???????"
"109,???????,??????,290,,???? ???????"
"110,?????? ??????,??????,750,,???? ???????"
"111,???? ????,??????,225,,???? ???????"
"112,???????,??????,35,,???? ???????"
"113,???? ???,?????,175,,???? ???????"
"114,??????,?????,281,,???? ???????"
"115,??????,?????,400,,???? ???????"
"116,??????,?????,780,,???? ???????"
"117,????????,?????,770,,???? ???????"
"118,??????,????? ??????,57,,???? ???????"
"119,????,????? ??????,125,,???? ???????"
"120,????? ??? 2,????? ??????,100,,???? ???????"
"121,????? ??? 3,????? ??????,250,,???? ???????"
"122,?????? (?????),????? ??????,250,,???? ???????"
"123,?????? 1,????,19,,???? ???????"
"124,?????? 2,????,225,,???? ???????"
"125,???????,????,79,,???? ???????"
"126,???????,????,298,,???? ???????"
"127,???? ??????,????,45,,???? ???????"
"128,????,????,545,,???? ???????"
"129,???? ????,????,290,,???? ???????"
"130,???? ???????,????,750,,???? ???????"
"131,?????? (2),???????,1326,,???? ???????"
"132,?????? (3),???????,1200,,???? ???????"
"133,????,???????,416,,???? ???????"
"134,??? ?????,???????,350,,???? ???????"
"135,???? ?????,???????,180,,???? ???????"
"136,???? ?????,???????,560,,???? ???????"
"137,???? ????,???????,145,,???? ???????"
"138,??? ??????,???????,370,,???? ???????"
"139,?????,???????,175,,???? ???????"
"140,????,???????,280,,???? ???????"
"141,???????,???????,195,,???? ???????"
"142,?????,???????,772,,???? ???????"
"143,??????,???????,1250,,???? ???????"
"144,???????,???????,210,,???? ???????"
"145,??? ???????,???????,376,,???? ???????"
